LapNumber,Stint,TyreLife,Position,LapTime (s),LapTime_Delta,Cumulative_Degradation,RaceProgress,Position_Change,Degradation_Rate,Compound_HARD,Compound_INTERMEDIATE,Compound_MEDIUM,Compound_SOFT,Compound_WET,Driver_encoded,PitNextLap,Year
-1.6056654328138016,-1.1270728515688235,-1.2788447527379183,0.9785577376206537,0.5754018876050351,-1.8845696963632443,0.1520318412220535,-1.6075031520833782,0.23046568577011614,-3.4249104786432265,False,False,True,False,False,0,0,2024
-1.5503069425500886,-1.1270728515688235,-1.1832579054269776,0.9785577376206537,1.9314482254835732,-1.4380265316024,0.6449562910668839,-1.5544176702669135,0.23046568577011614,-2.916059312536455,False,False,True,False,False,0,0,2024
-1.4949484522863754,-1.1270728515688235,-1.087671058116037,0.9785577376206537,0.18902038803793833,-2.298597850116037,0.011581708520621356,-1.501332188450449,0.23046568577011614,-3.101785045730186,False,False,True,False,False,0,0,2024
-1.4395899620226624,-1.1270728515688235,-0.9920842108050963,0.9785577376206537,-0.2189139768541049,-2.1922202164784865,-0.13670291625244568,-1.4482467066339844,0.23046568577011614,-2.232740182397612,False,False,True,False,False,0,0,2024
-1.3842314717589492,-1.1270728515688235,-0.8964973634941557,0.9785577376206537,-0.19686154180308313,-0.03982585450230519,-0.12868682999371975,-1.3951612248175196,0.0030778519781370596,-0.08303346561410882,False,False,True,False,False,0,0,2024
-1.3288729814952362,-1.1270728515688235,-0.800910516183215,0.7931356844303167,-0.16503181354173765,0.052419618153816426,-0.11711668607335803,-1.342075743001055,0.23046568577011614,-0.01616780838859619,False,False,True,False,False,0,0,2024
-1.273514491231523,-1.1270728515688235,-0.7053236688722743,0.7931356844303167,-0.2005726311967831,0.10182697783498271,-0.1300358153835379,-1.2889902611845905,0.23046568577011614,0.007242075359401019,False,False,True,False,False,0,0,2024
-1.21815600096781,-1.1270728515688235,-0.6097368215613336,0.7931356844303167,-0.17288219495148655,0.12484694318363883,-0.11997030901335756,-1.235904779368126,0.23046568577011614,0.011674576806324588,False,False,True,False,False,0,0,2024
-1.1627975107040969,-1.1270728515688235,-0.5141499742503929,0.7931356844303167,-0.18972483143058452,0.13726778779622226,-0.12609262732099305,-1.1828192975516614,0.23046568577011614,0.010435917109947308,False,False,True,False,False,0,0,2024
-1.107439020440384,-1.1270728515688235,-0.4185631269394522,0.7931356844303167,-0.16981340949131152,0.16685699985108854,-0.11885480186408484,-1.1297338157351968,0.23046568577011614,0.016276533175820188,False,False,True,False,False,0,0,2024
-1.0520805301766707,-1.1270728515688235,-0.3229762796285115,0.7931356844303167,-0.16909973845406226,0.08620431550004475,-0.11859538159681239,-1.0766483339187323,0.23046568577011614,-0.018823743286156856,False,False,True,False,False,0,0,2024
-0.9967220399129576,-1.1270728515688235,-0.22738943231757083,0.7931356844303167,-0.06611700777890163,0.2736762635193082,-0.08116103702936389,-1.0235628521022675,0.23046568577011614,0.04083494473236513,False,False,True,False,False,0,0,2024
-0.9413635496492445,-0.017558523439624347,-1.2788447527379183,1.1639797908109906,1.2022191596216236,0.630899754577218,0.49586746346528315,-0.9704773702858029,0.0030778519781370596,2.449338553960804,True,False,False,False,False,0,0,2024
-0.8860050593855314,-0.017558523439624347,-1.1832579054269776,1.1639797908109906,-0.23054681476127806,-0.48664503803231796,-0.02494466511136067,-0.9173918884693384,0.0030778519781370596,-1.0232164468589104,True,False,False,False,False,0,0,2024
-0.8306465691218183,-0.017558523439624347,-1.087671058116037,1.1639797908109906,-0.22362420569995442,-0.48670024178615195,-0.02242828851881577,-0.8643064066528737,-0.45169781560582106,-0.6985167567948101,True,False,False,False,False,0,1,2024
-0.7752880788581052,-0.017558523439624347,-0.9920842108050963,1.1639797908109906,-0.22840580164952826,-0.5257292957465814,-0.02416640430954258,-0.8112209248364091,-0.6790856493978001,-0.5749375704365537,True,False,False,False,False,0,1,2024
-0.7199295885943922,-0.017558523439624347,-0.8964973634941557,1.1639797908109906,-0.24382109605412672,-0.593077875423703,-0.029769882082632808,-0.758135443019945,-1.1338613169817584,-0.5233275633237612,True,False,False,False,False,0,1,2024
-0.6645710983306791,-0.017558523439624347,-0.800910516183215,1.1639797908109906,-0.23361560022145308,-0.47560428726557746,-0.026060172260633382,-0.7050499612034802,-1.5886369845657164,-0.3663484979210266,True,False,False,False,False,0,1,2024
-0.609212608066966,-0.017558523439624347,-0.7053236688722743,1.1639797908109906,-0.22233959783290455,-0.47433460092740165,-0.021961332037725007,-0.6519644793870156,-1.5886369845657164,-0.3202766333240405,True,False,False,False,False,0,1,2024
-0.5538541178032529,-0.017558523439624347,-0.6097368215613336,1.1639797908109906,-0.21013582309593076,-0.4309996541679429,-0.01752524546736182,-0.5988789975705509,-1.5886369845657164,-0.2647997590197635,True,False,False,False,False,0,1,2024
-0.49849562753953985,-0.017558523439624347,-0.5141499742503929,1.1639797908109906,-0.20678156922085644,-0.4263073350920776,-0.01630597021118018,-0.5457935157540863,-1.5886369845657164,-0.23873604033466525,True,False,False,False,False,0,1,2024
-0.44313713727582676,-0.017558523439624347,-0.4185631269394522,1.1639797908109906,-0.21013582309593076,-0.49177898713885276,-0.01752524546736182,-0.4927080339376217,-1.3612491507737374,-0.2458043329074894,True,False,False,False,False,0,1,2024
-0.3877786470121137,-0.017558523439624347,-0.3229762796285115,0.7931356844303167,-0.2241237754260297,-0.5338442475601366,-0.02260988270590678,-0.4396225521211571,-0.9064734831897793,-0.24312044080048043,True,False,False,False,False,0,1,2024
-0.3324201567484006,-0.017558523439624347,-0.22738943231757083,0.6077136312399798,-0.22390967411485474,-0.5591275668159743,-0.02253205662572497,-0.3865370703046925,-0.6790856493978001,-0.23531904806879778,True,False,False,False,False,0,1,2024
-0.2770616664846875,-0.017558523439624347,-0.13180258500663017,0.6077136312399798,-0.2164161282237305,-1.0463558981522596,-0.019808143819361666,-0.33345158848822787,0.23046568577011614,-0.370113760552454,True,False,False,False,False,0,1,2024
-0.22170317622097438,-0.017558523439624347,-0.03621573769568947,0.6077136312399798,-0.2091366836437812,-0.6682101843913757,-0.01716205709318017,-0.28036610667176354,0.23046568577011614,-0.23969140347838766,True,False,False,False,False,0,1,2024
-0.1663446859572613,-0.017558523439624347,0.05937110961525121,0.6077136312399798,-0.19993032726325816,-0.7266157559474367,-0.013815535645362765,-0.22728062485529893,0.45785351956209525,-0.24246544332198422,True,False,False,False,False,0,1,2024
-0.1109861956935482,-0.017558523439624347,0.1549579569261919,0.6077136312399798,-0.21905671106155455,-0.7076256646286414,-0.020767998808270394,-0.17419514303883432,0.45785351956209525,-0.22564468871605886,True,False,False,False,False,0,1,2024
-0.055627705429835105,-0.017558523439624347,0.2505448042371326,0.42229157804964285,-0.21734390057215572,-0.6154905994801878,-0.020145390166816293,-0.12110966122236973,0.6852413533540743,-0.19368199231147157,True,False,False,False,False,0,1,2024
-0.00026921516612201323,-0.017558523439624347,0.34613165154807324,0.42229157804964285,-0.23497157519222828,-0.6492200930725814,-0.026553070768451627,-0.06802417940590512,0.6852413533540743,-0.1930947864977152,True,False,False,False,False,0,1,2024
0.05508927509759108,-0.017558523439624347,0.44171849885901393,0.42229157804964285,-0.21548835587530524,-0.6332662082146402,-0.019470897471906945,-0.014938697589440294,0.6852413533540743,-0.18216426499761348,True,False,False,False,False,0,1,2024
0.11044776536130417,-0.017558523439624347,0.5373053461699546,0.23686952485930587,-0.23482884098477763,-0.6295675567077816,-0.026501186714996842,0.038146784227024305,0.6852413533540743,-0.1747650637000949,True,False,False,False,False,0,1,2024
0.16580625562501727,-0.017558523439624347,0.6328921934808953,0.051447471668968944,-0.2437497289504014,-0.6588255462396458,-0.029743940055905416,0.09123226604348846,0.9126291871460532,-0.17431527594264903,True,False,False,False,False,0,1,2024
0.22116474588873036,-0.017558523439624347,0.728479040791836,0.051447471668968944,-0.23975317114180214,-1.0341006648011766,-0.028291186559178443,0.14431774785995305,0.23046568577011614,-0.23649058827423797,True,False,False,False,False,0,1,2024
0.27652323615244345,-0.017558523439624347,0.8240658881027767,0.051447471668968944,-0.24581937495842585,-1.1037678021393131,-0.03049625883099611,0.19740322967641766,0.23046568577011614,-0.24038723287059424,True,False,False,False,False,0,1,2024
0.33188172641615654,-0.017558523439624347,0.9196527354137174,0.051447471668968944,-0.25609623789482483,-2.6726032823393924,-0.03423191067972293,0.2504887114928825,0.6852413533540743,-0.4925178864522483,True,False,False,False,False,0,0,2024
0.38724021667986963,-0.017558523439624347,1.015239582724658,0.051447471668968944,-0.25345565505700074,-1.0357567774161882,-0.0332720556908142,0.3035741933093471,0.0030778519781370596,-0.21424303977292417,True,False,False,False,False,0,0,2024
0.4425987069435827,-0.017558523439624347,1.1108264300355988,-0.133974581521368,-0.2525278827085755,-1.020134115081249,-0.03293480934335957,0.35665967512581165,0.0030778519781370596,-0.2054926482711541,True,False,False,False,False,0,0,2024
0.4979571972072958,-0.017558523439624347,1.2064132773465395,-0.133974581521368,-0.25631033920599977,-1.0226734877575998,-0.03430973675990474,0.40974515694227603,0.0030778519781370596,-0.20006707785925998,True,False,False,False,False,0,0,2024
0.5533156874710089,-0.017558523439624347,1.3020001246574802,-0.133974581521368,-0.25538256685757454,-0.9941331470255738,-0.03397249041245011,0.46283063875874064,0.0030778519781370596,-0.190612237014758,True,False,False,False,False,0,0,2024
0.608674177734722,-0.017558523439624347,1.3975869719684209,-0.133974581521368,-0.260949200948124,-1.0172083161280627,-0.035995968497177136,0.5159161205752052,0.0030778519781370596,-0.1888917176859554,True,False,False,False,False,0,0,2024
0.6640326679984351,-0.017558523439624347,1.4931738192793615,-0.133974581521368,-0.25067233801172606,-0.9684081977390668,-0.032260316648450686,0.5690016023916699,0.0030778519781370596,-0.17775249122396808,True,False,False,False,False,0,0,2024
0.7193911582621482,-0.017558523439624347,1.5887606665903022,-0.133974581521368,-0.24489160261000162,-0.9492524951587714,-0.03015901248354185,0.6220870842081344,0.0030778519781370596,-0.17113706822518268,True,False,False,False,False,0,0,2024
0.7747496485258613,-0.017558523439624347,1.684347513901243,-0.133974581521368,-0.25017276828565077,-0.9584715220490003,-0.03207872246135968,0.6751725660245991,0.0030778519781370596,-0.16846345876692514,True,False,False,False,False,0,0,2024
0.8301081387895743,-0.017558523439624347,1.7799343612121836,-0.133974581521368,-0.2606637325332247,-0.9860181952120192,-0.0358922003902683,0.7282580478410636,0.0030778519781370596,-0.1681618370876125,True,False,False,False,False,0,0,2024
0.8854666290532874,-0.017558523439624347,1.8755212085231243,-0.133974581521368,-0.26330431537104876,-0.998770262347605,-0.03685205537917703,0.7813435296575283,0.0030778519781370596,-0.16614649035051293,True,False,False,False,False,0,0,2024
0.9408251193170005,-0.017558523439624347,1.971108055834065,-0.133974581521368,-0.260949200948124,-0.9960100746559197,-0.035995968497177136,0.8344290114739928,0.0030778519781370596,-0.16248271986770066,True,False,False,False,False,0,0,2024
0.9961836095807136,-0.017558523439624347,2.066694903145006,-0.133974581521368,-0.21905671106155455,-0.940640709560713,-0.020767998808270394,0.8875144932904574,0.0030778519781370596,-0.15320750356561025,True,False,False,False,False,0,0,2024
1.0515420998444267,-0.017558523439624347,2.1622817504559464,-0.133974581521368,-0.22719256088620374,-0.957809077002995,-0.023725389855179125,0.9405999751069221,0.0030778519781370596,-0.15223468322891356,True,False,False,False,False,0,0,2024
1.10690059010814,-0.017558523439624347,2.2578685977668873,-0.133974581521368,-0.24467750129882665,-2.6726032823393924,-0.030081186403360043,0.9936854569233866,-0.45169781560582106,-0.3290788751354525,True,False,False,False,False,0,0,2024
1.1622590803718529,-0.017558523439624347,2.353455445077828,0.051447471668968944,-0.15375581115318912,0.0030674622264841083,-0.17997421683351766,1.0467709387398512,-0.6790856493978001,-0.048897712878088063,True,False,False,False,False,0,0,2024
1.217617570635566,-0.017558523439624347,2.4490422923887682,0.051447471668968944,-0.2134900769710061,0.34428186467261823,-0.20168769320424157,1.099856420556316,0.0030778519781370596,-0.01495416595702243,True,False,False,False,False,0,0,2024
1.272976060899279,-0.017558523439624347,2.544629139699709,0.23686952485930587,-0.13669907336291617,0.40572364268953254,-0.17377407244570056,1.1529419023727805,-0.224309981813842,-0.009818989135027665,True,False,False,False,False,0,0,2024
1.3283345511629923,-0.017558523439624347,2.6402159870106496,0.23686952485930587,-0.1140757014820948,0.6861587121647569,-0.1655504499731564,1.206027384189245,0.6852413533540743,0.01581942329209031,True,False,False,False,False,0,0,2024
1.3836930414267052,-0.017558523439624347,2.7358028343215905,0.23686952485930587,-0.19422095896525804,0.6280291593778657,-0.1946833459878788,1.2591128660057096,-0.45169781560582106,0.00893516502507122,True,False,False,False,False,0,0,2024
1.4390515316904184,-0.017558523439624347,2.831389681632531,0.23686952485930587,-0.08695620206659785,0.7269542862478655,-0.1556924798167941,1.3121983478221741,-0.45169781560582106,0.016567088459726327,True,False,False,False,False,0,0,2024
1.4944100219541314,-0.017558523439624347,2.926976528943472,0.23686952485930587,-0.16196302808156263,0.6979171117313365,-0.18295754990715363,1.365283829638639,-0.45169781560582106,0.012544689479740178,True,False,False,False,False,0,0,2024
-1.6056654328138016,-1.1270728515688235,-1.1832579054269776,-0.6902407410923789,0.21685355849068452,-1.4877651138065693,0.5373487642021909,-1.6068046589015823,0.45785351956209525,-3.015017849264753,False,False,True,False,False,1,0,2024
-1.5503069425500886,-1.1270728515688235,-1.087671058116037,-0.6902407410923789,1.2152793396032973,-1.7815042879557166,0.9002777181166786,-1.5530206839033223,0.45785351956209525,-2.41592147670765,False,False,True,False,False,1,0,2024
-1.4949484522863754,-1.1270728515688235,-0.9920842108050963,-0.6902407410923789,0.6503373465162745,-1.9828875819410752,0.6949206345436202,-1.499236708905062,0.45785351956209525,-2.0244989108805744,False,False,True,False,False,1,0,2024
-1.4395899620226624,-1.1270728515688235,-0.8964973634941557,-0.6902407410923789,-0.26358978378594905,-2.6726032823393924,0.3627070402742188,-1.4454527339068017,0.45785351956209525,-2.178274546034057,False,False,True,False,False,1,0,2024
-1.3842314717589492,-1.1270728515688235,-0.800910516183215,-0.6902407410923789,-0.21720116636470507,-0.12401157909870575,-0.40112999468347693,-1.3916687589085417,1.1400170209380323,-0.1331753864069592,False,False,True,False,False,1,0,2024
-1.3288729814952362,-1.1270728515688235,-0.7053236688722743,-0.6902407410923789,-0.23539977781457824,0.04640240898594281,-0.40774521149893067,-1.3378847839102816,1.3674048547300115,-0.02426398802262185,False,False,True,False,False,1,0,2024
-1.273514491231523,-1.1270728515688235,-0.6097368215613336,-0.6902407410923789,-0.2385399303784776,0.09845954885112707,-0.4088866606749304,-1.2841008089120214,1.3674048547300115,-0.0014503345577505389,False,False,True,False,False,1,0,2024
-1.21815600096781,-1.1270728515688235,-0.5141499742503929,-0.6902407410923789,-0.22091225575840504,0.11369578490922962,-0.4024789800732951,-1.2303168339137613,1.3674048547300115,1.4090699049930818e-05,False,False,True,False,False,1,0,2024
-1.1627975107040969,-1.1270728515688235,-0.4185631269394522,-0.6902407410923789,-0.21712979926098075,0.13781982533455883,-0.4011040526567499,-1.176532858915501,1.3674048547300115,0.004722217899663654,False,False,True,False,False,1,0,2024
-1.107439020440384,-1.1270728515688235,-0.3229762796285115,-0.5048186879020419,-0.10130098991532141,0.19915119584380597,-0.35900014327839286,-1.122748883917241,1.1400170209380323,0.02203372137857821,False,False,True,False,False,1,0,2024
-1.0520805301766707,-1.1270728515688235,-0.22738943231757083,-0.5048186879020419,-0.14554859422481561,0.15957010434503913,-0.3750841998492995,-1.0689649089189808,1.1400170209380323,0.002997857159781159,False,False,True,False,False,1,0,2024
-0.9967220399129576,-1.1270728515688235,-0.13180258500663017,-0.31939663471170493,-0.09323650719439756,0.21919015848544107,-0.3560686942582115,-1.0151809339207207,0.9126291871460532,0.01725488189545953,False,False,True,False,False,1,0,2024
-0.9413635496492445,-1.1270728515688235,-0.03621573769568947,-0.31939663471170493,0.008318881406263546,0.30795779465003986,-0.31915319022530847,-0.9613969589224606,0.9126291871460532,0.037759651693084165,False,False,True,False,False,1,0,2024
-0.8860050593855314,-0.017558523439624347,-1.1832579054269776,0.42229157804964285,1.332035921297381,0.6889188998564428,1.4277828895889528,-0.9076129839242003,0.45785351956209525,1.3156537414086613,True,False,False,False,False,1,0,2024
-0.8306465691218183,-0.017558523439624347,-1.087671058116037,0.42229157804964285,-0.24060957638650204,-0.685654570602827,0.8561243886268622,-0.8538290089259403,0.23046568577011614,-0.9624061880702685,True,False,False,False,False,1,1,2024
-0.7752880788581052,-0.017558523439624347,-0.9920842108050963,0.42229157804964285,-0.2298331437240288,-0.642154012581867,0.8600416346626798,-0.8000450339276801,0.0030778519781370596,-0.6907553029337673,True,False,False,False,False,1,1,2024
-0.7199295885943922,-0.017558523439624347,-0.8964973634941557,0.42229157804964285,-0.2309036502799037,-0.5751366554277485,0.8596525042617708,-0.7462610589294195,-0.45169781560582106,-0.5090494170699557,True,False,False,False,False,1,1,2024
-0.6645710983306791,-0.017558523439624347,-0.800910516183215,0.42229157804964285,-0.2542406931979753,-0.5416279768506892,0.8511694615219539,-0.6924770839311598,-0.45169781560582106,-0.41013481309936284,True,False,False,False,False,1,1,2024
-0.609212608066966,-0.017558523439624347,-0.7053236688722743,0.42229157804964285,-0.24403519736530171,-0.551895875063758,0.8548791713439533,-0.6386931089328992,-0.224309981813842,-0.3643662937341426,True,False,False,False,False,1,1,2024
-0.5538541178032529,-0.017558523439624347,-0.6097368215613336,0.42229157804964285,-0.21698706505353008,-0.46754453920585565,0.8647111994735883,-0.5849091339346392,-0.224309981813842,-0.2829769375198,True,False,False,False,False,1,1,2024
-0.49849562753953985,-0.017558523439624347,-0.5141499742503929,0.42229157804964285,-0.2137041782821811,-0.48581698172481314,0.8659045327030425,-0.531125158936379,-0.224309981813842,-0.2650468807818488,True,False,False,False,False,1,1,2024
-0.44313713727582676,-0.017558523439624347,-0.4185631269394522,0.23686952485930587,-0.2104926586145564,-0.5123699873188252,0.8670719239057696,-0.4773411839381187,0.0030778519781370596,-0.2539977922192886,True,False,False,False,False,1,1,2024
-0.3877786470121137,-0.017558523439624347,-0.3229762796285115,0.051447471668968944,-0.23297329628792815,-0.6153249882186859,0.85890018548668,-0.42355720893985854,0.45785351956209525,-0.27259532733281133,True,False,False,False,False,1,1,2024
